Scenario,Runs,Decision Accuracy,Recovery Success Rate,Mean Confidence,Confidence SD,Confidence 95% CI,Mean Confidence Margin,Mean Decision Latency (ms),Mean MTTR (ms),MTTR SD (ms),Mean Availability Before,Mean Availability After,Mean Availability Gain
CPU Resource Exhaustion,30,0.6666666666666666,1.0,0.6426064313505316,0.09124616687590463,0.032652021470758255,0.1373698668847683,0.03383259960780071,23.232101300770108,18.431244044024446,1.0,1.0,0.0
Memory Pressure,25,1.0,1.0,0.7275837725980944,0.1331770084090517,0.052205387296348264,0.11135950132494622,0.03680739988340061,23.86181196096004,9.04599878938037,1.0,1.0,0.0
Service Dependency Failure,5,1.0,1.0,0.9341211775433308,0.0,0.0,0.015363907593326098,0.04221060007694174,13.43367379886331,3.8977485817470274,0.0,1.0,1.0
Application Latency,25,0.52,1.0,0.501050605653186,0.021930230589896137,0.008596650391239285,0.04840405373641232,0.08626383962109681,294.8683562797669,359.17648811918315,1.0,1.0,0.0
Application Error Injection,25,0.96,1.0,0.6929877212714208,0.12843327165251647,0.05034584248778646,0.15175220847243756,0.04292008030461142,12.519417640287429,3.3549491808253213,0.738,0.9946666666666667,0.2566666666666666
