campaign_id,timestamp,repetition,scenario,severity,selected_decision,executed_decision,aggregation_mode,expected_decision,correct,confidence,confidence_margin,ce,ch,cc,cr,decision_latency_ms,recovery_success,recovery_attempted,operator_escalation,safety_status,safety_reason,action_execution_mode,recovery_verification_latency_ms,pre_availability,post_availability,availability_gain,cpu,memory,allocated_memory_mb,latency_ms,error_rate,dependency_available
80fa05c9-0d70-4251-bf4b-f038a73be250,2026-09-05T07:11:48.154512+00:00,6,cpu,0.7,Do Nothing,Operator Review,multiplicative,Scale Out,0,0.4719241152547506,0.062302498899264924,0.664,0.664,0.45,0.25,0.3908248618245125,0,0,1,operator_escalation,confidence 0.472 is below the autonomous threshold 0.550,prototype_fault_reset,0.0,1.0,1.0,0.0,66.8,2.1554017038372066,0.0,11.36264425570151,0.0,1.0
80fa05c9-0d70-4251-bf4b-f038a73be250,2026-09-05T07:12:10.266043+00:00,1,cpu,0.8,Scale Out,Operator Review,multiplicative,Scale Out,1,0.5154292307653182,0.10629613241228092,0.3989999999999999,0.3723999999999999,0.95,0.5,0.4716496914625168,0,0,1,operator_escalation,confidence 0.515 is below the autonomous threshold 0.550,prototype_fault_reset,0.0,1.0,1.0,0.0,76.6,2.1556001937261318,0.0,10.932442142501387,0.0,1.0
80fa05c9-0d70-4251-bf4b-f038a73be250,2026-09-05T07:12:32.346745+00:00,2,cpu,0.8,Scale Out,Operator Review,multiplicative,Scale Out,1,0.5353886676990258,0.11041233464634859,0.43050000000000005,0.40180000000000005,0.95,0.5,0.445404089987278,0,0,1,operator_escalation,confidence 0.535 is below the autonomous threshold 0.550,prototype_fault_reset,0.0,1.0,1.0,0.0,78.7,2.155798683615057,0.0,11.954040624774418,0.0,1.0
80fa05c9-0d70-4251-bf4b-f038a73be250,2026-09-05T07:12:54.424994+00:00,3,cpu,0.8,Scale Out,Operator Review,multiplicative,Scale Out,1,0.5066345319531433,0.10289036102341381,0.3855,0.3598,0.95,0.5,0.2097850665450096,0,0,1,operator_escalation,confidence 0.507 is below the autonomous threshold 0.550,prototype_fault_reset,0.0,1.0,1.0,0.0,75.7,2.155997173503982,0.0,12.320158430016956,0.0,1.0
80fa05c9-0d70-4251-bf4b-f038a73be250,2026-09-05T07:13:16.500676+00:00,4,cpu,0.8,Scale Out,Operator Review,multiplicative,Scale Out,1,0.5173633059687085,0.10669499359756834,0.4019999999999999,0.3751999999999999,0.95,0.5,0.34829601645469666,0,0,1,operator_escalation,confidence 0.517 is below the autonomous threshold 0.550,prototype_fault_reset,0.0,1.0,1.0,0.0,76.8,2.156592643170757,0.0,12.493748509892699,0.0,1.0
80fa05c9-0d70-4251-bf4b-f038a73be250,2026-09-05T07:13:38.570027+00:00,5,cpu,0.8,Scale Out,Operator Review,multiplicative,Scale Out,1,0.5154292307653182,0.10629613241228092,0.3989999999999999,0.3723999999999999,0.95,0.5,0.24074502289295197,0,0,1,operator_escalation,confidence 0.515 is below the autonomous threshold 0.550,prototype_fault_reset,0.0,1.0,1.0,0.0,76.6,2.156791133059682,0.0,12.238344808588543,0.0,1.0
80fa05c9-0d70-4251-bf4b-f038a73be250,2026-09-05T07:14:00.679426+00:00,6,cpu,0.8,Scale Out,Operator Review,multiplicative,Scale Out,1,0.5259786434094248,0.10847172063343158,0.41550000000000004,0.38780000000000003,0.95,0.5,0.37871114909648895,0,0,1,operator_escalation,confidence 0.526 is below the autonomous threshold 0.550,prototype_fault_reset,0.0,1.0,1.0,0.0,77.7,2.156989622948607,0.0,12.190969448712979,0.0,1.0
80fa05c9-0d70-4251-bf4b-f038a73be250,2026-09-05T07:14:23.796678+00:00,1,cpu,0.9,Scale Out,Scale Out,multiplicative,Scale Out,1,0.5723545609403196,0.11803575072013311,0.49199999999999994,0.4591999999999999,0.95,0.5,0.40074437856674194,1,1,0,autonomous,,prototype_fault_reset,1042.4547968432307,1.0,1.0,0.0,82.8,2.156989622948607,0.0,12.708398744948871,0.0,1.0
80fa05c9-0d70-4251-bf4b-f038a73be250,2026-09-05T07:14:46.940948+00:00,2,cpu,0.9,Scale Out,Scale Out,multiplicative,Scale Out,1,0.6234158800033938,0.16290621767261848,0.5055000000000001,0.4718,0.95,0.6666666666666666,0.25550369173288345,1,1,0,autonomous,,prototype_fault_reset,1091.184601187706,1.0,1.0,0.0,83.7,2.156989622948607,0.0,13.331678830660307,0.0,1.0
80fa05c9-0d70-4251-bf4b-f038a73be250,2026-09-05T07:15:10.172956+00:00,3,cpu,0.9,Scale Out,Scale Out,multiplicative,Scale Out,1,0.6781799770963918,0.19175292588810816,0.564,0.5263999999999999,0.95,0.75,5.597677081823349,1,1,0,autonomous,,prototype_fault_reset,1124.5813658460975,1.0,1.0,0.0,87.6,2.156989622948607,0.0,13.229330989699331,0.0,1.0
80fa05c9-0d70-4251-bf4b-f038a73be250,2026-09-05T07:15:33.354593+00:00,4,cpu,0.9,Scale Out,Scale Out,multiplicative,Scale Out,1,0.6696878169750788,0.19703965537890566,0.5325,0.49699999999999994,0.95,0.8,0.25489088147878647,1,1,0,autonomous,,prototype_fault_reset,1119.8747726157308,1.0,1.0,0.0,85.5,2.156989622948607,0.0,15.150962754991772,0.0,1.0
80fa05c9-0d70-4251-bf4b-f038a73be250,2026-09-05T07:15:56.482737+00:00,5,cpu,0.9,Scale Out,Scale Out,multiplicative,Scale Out,1,0.7136560655175511,0.21509042589090582,0.5925,0.5529999999999999,0.95,0.8333333333333334,1.5234733000397682,1,1,0,autonomous,,prototype_fault_reset,1052.1133411675692,1.0,1.0,0.0,89.5,2.156989622948607,0.0,16.696896191569973,0.0,1.0
80fa05c9-0d70-4251-bf4b-f038a73be250,2026-09-05T07:16:19.582915+00:00,6,cpu,0.9,Scale Out,Scale Out,multiplicative,Scale Out,1,0.6813389299659031,0.20869076836972988,0.5325,0.49699999999999994,0.95,0.8571428571428571,0.23141968995332718,1,1,0,autonomous,,prototype_fault_reset,1044.0735323354602,1.0,1.0,0.0,85.5,2.156989622948607,0.0,17.274040053030703,0.0,1.0
