campaign_id,timestamp,repetition,scenario,severity,reference_policy_version,reference_policy_sha256,selected_decision,executed_decision,aggregation_mode,expected_decision,correct,confidence,confidence_margin,ce,ch,cc,cr,decision_latency_ms,recovery_success,recovery_attempted,operator_escalation,safety_status,safety_reason,action_execution_mode,recovery_verification_latency_ms,pre_availability,post_availability,availability_gain,cpu,memory,allocated_memory_mb,latency_ms,error_rate,dependency_available
0ab6e4b7-ed17-40ee-b57e-3a54441b350b,2026-09-05T09:25:12.123115+00:00,5,cpu,0.7,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Do Nothing,Operator Review,multiplicative,Do Nothing,1,0.5457898456254581,0.1147824738722884,0.6280000000000001,0.6280000000000001,0.45,0.5,0.2463432028889656,0,0,1,operator_escalation,confidence 0.546 is below the autonomous threshold 0.550,prototype_fault_reset,0.0,1.0,1.0,0.0,68.6,2.1516303959476306,0.0,10.031893102661568,0.0,1.0
0ab6e4b7-ed17-40ee-b57e-3a54441b350b,2026-09-05T09:25:34.204279+00:00,6,cpu,0.7,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Do Nothing,Do Nothing,multiplicative,Do Nothing,1,0.5612155156023135,0.15159389924682787,0.664,0.664,0.45,0.5,0.23891963064670563,,0,0,autonomous_observation,,prototype_fault_reset,,1.0,1.0,0.0,66.8,2.1522258656144055,0.0,10.663982312685464,0.0,1.0
0ab6e4b7-ed17-40ee-b57e-3a54441b350b,2026-09-05T09:25:56.285908+00:00,1,cpu,0.8,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Scale Out,Operator Review,multiplicative,Scale Out,1,0.5269272080094087,0.06800707098422432,0.4169999999999999,0.38919999999999993,0.95,0.5,0.2539902925491333,0,0,1,operator_escalation,confidence 0.527 is below the autonomous threshold 0.550,prototype_fault_reset,0.0,1.0,1.0,0.0,77.8,2.1524243555033307,0.0,11.441082478715824,0.0,1.0
0ab6e4b7-ed17-40ee-b57e-3a54441b350b,2026-09-05T09:26:18.365619+00:00,2,cpu,0.8,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Scale Out,Operator Review,multiplicative,Scale Out,1,0.5259786434094248,0.06602606382619802,0.41550000000000004,0.38780000000000003,0.95,0.5,0.26674941182136536,0,0,1,operator_escalation,confidence 0.526 is below the autonomous threshold 0.550,prototype_fault_reset,0.0,1.0,1.0,0.0,77.7,2.153019825170106,0.0,11.521750639506875,0.0,1.0
0ab6e4b7-ed17-40ee-b57e-3a54441b350b,2026-09-05T09:26:40.437016+00:00,3,cpu,0.8,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Scale Out,Operator Review,multiplicative,Scale Out,1,0.5278740680866628,0.06998870157102116,0.4185000000000001,0.3906000000000001,0.95,0.5,0.9280769154429436,0,0,1,operator_escalation,confidence 0.528 is below the autonomous threshold 0.550,prototype_fault_reset,0.0,1.0,1.0,0.0,77.9,2.154409254392581,0.0,11.735972259524306,0.0,1.0
0ab6e4b7-ed17-40ee-b57e-3a54441b350b,2026-09-05T09:27:02.502511+00:00,4,cpu,0.8,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Scale Out,Operator Review,multiplicative,Scale Out,1,0.5363205894969069,0.08785558619485556,0.43199999999999994,0.40319999999999995,0.95,0.5,1.2138821184635162,0,0,1,operator_escalation,confidence 0.536 is below the autonomous threshold 0.550,prototype_fault_reset,0.0,1.0,1.0,0.0,78.8,2.1548062341704313,0.0,11.965833202305232,0.0,1.0
0ab6e4b7-ed17-40ee-b57e-3a54441b350b,2026-09-05T09:27:24.589447+00:00,5,cpu,0.8,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Scale Out,Operator Review,multiplicative,Scale Out,1,0.5363205894969069,0.08785558619485556,0.43199999999999994,0.40319999999999995,0.95,0.5,0.2122698351740837,0,0,1,operator_escalation,confidence 0.536 is below the autonomous threshold 0.550,prototype_fault_reset,0.0,1.0,1.0,0.0,78.8,2.1552032139482815,0.0,11.80517560138797,0.0,1.0
0ab6e4b7-ed17-40ee-b57e-3a54441b350b,2026-09-05T09:27:46.660209+00:00,6,cpu,0.8,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Scale Out,Operator Review,multiplicative,Scale Out,1,0.5259786434094248,0.06602606382619802,0.41550000000000004,0.38780000000000003,0.95,0.5,0.28024986386299133,0,0,1,operator_escalation,confidence 0.526 is below the autonomous threshold 0.550,prototype_fault_reset,0.0,1.0,1.0,0.0,77.7,2.1552032139482815,0.0,12.20153324362455,0.0,1.0
0ab6e4b7-ed17-40ee-b57e-3a54441b350b,2026-09-05T09:28:09.815668+00:00,1,cpu,0.9,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Scale Out,Scale Out,multiplicative,Scale Out,1,0.629685190754434,0.12985895331373082,0.5955,0.5558,0.95,0.5,0.39403047412633896,1,1,0,autonomous,,prototype_fault_reset,1058.5748488083482,1.0,1.0,0.0,89.7,2.1554017038372066,0.0,12.840152418974675,0.0,1.0
0ab6e4b7-ed17-40ee-b57e-3a54441b350b,2026-09-05T09:28:32.944332+00:00,2,cpu,0.9,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Scale Out,Scale Out,multiplicative,Scale Out,1,0.6680644971960116,0.17457344910586725,0.5805,0.5418,0.95,0.6666666666666666,0.25251880288124084,1,1,0,autonomous,,prototype_fault_reset,1074.9227758497,1.0,1.0,0.0,88.7,2.1554017038372066,0.0,13.408119337180176,0.0,1.0
